"origin","flight_date","count"
MSY,2005-07-23,126
MSY,2005-07-24,140
MSY,2005-07-25,149
MSY,2005-07-26,148
MSY,2005-07-27,145
MSY,2005-07-28,149
MSY,2005-07-29,150
MSY,2005-07-30,127
MSY,2005-07-31,139
MSY,2005-08-01,150
MSY,2005-08-02,148
MSY,2005-08-03,149
MSY,2005-08-04,149
MSY,2005-08-05,149
MSY,2005-08-06,126
MSY,2005-08-07,139
MSY,2005-08-08,149
MSY,2005-08-09,146
MSY,2005-08-10,148
MSY,2005-08-11,149
MSY,2005-08-12,148
MSY,2005-08-13,126
MSY,2005-08-14,139
MSY,2005-08-15,144
MSY,2005-08-16,142
MSY,2005-08-17,149
MSY,2005-08-18,148
MSY,2005-08-19,148
MSY,2005-08-20,124
MSY,2005-08-21,137
MSY,2005-08-22,150
MSY,2005-08-23,146
MSY,2005-08-24,147
MSY,2005-08-25,145
MSY,2005-08-26,148
MSY,2005-08-27,126
MSY,2005-08-28,67
MSY,2005-08-29,0
MSY,2005-08-30,0
MSY,2005-08-31,0
MSY,2005-09-01,0
MSY,2005-09-02,0
MSY,2005-09-03,0
MSY,2005-09-04,0
MSY,2005-09-05,0
MSY,2005-09-06,0
MSY,2005-09-07,0
MSY,2005-09-08,0
MSY,2005-09-09,0
MSY,2005-09-10,0
MSY,2005-09-11,0
MSY,2005-09-12,0
MSY,2005-09-13,2
MSY,2005-09-14,2
MSY,2005-09-15,2
MSY,2005-09-16,6
MSY,2005-09-17,9
MSY,2005-09-18,10
MSY,2005-09-19,14
MSY,2005-09-20,15
MSY,2005-09-21,18
MSY,2005-09-22,17
MSY,2005-09-23,7
MSY,2005-09-24,10
MSY,2005-09-25,17
MSY,2005-09-26,18
MSY,2005-09-27,18
MSY,2005-09-28,18
MSY,2005-09-29,18
MSY,2005-09-30,18
