"airport_code","month","day","hour","temp_c","precipitation_mm","humidity_perc","pressure_hpa"
MIA,7.0,6.0,7.0,27.8,0.0,77.0,1016.4
MIA,7.0,6.0,8.0,27.2,0.0,82.0,1016.0
MIA,7.0,6.0,9.0,27.8,0.0,77.0,1015.9
MIA,7.0,6.0,10.0,27.2,0.0,79.0,1015.8
MIA,7.0,6.0,11.0,27.2,0.0,82.0,1016.0
MIA,7.0,6.0,12.0,28.3,0.0,77.0,1016.4
MIA,7.0,6.0,13.0,29.4,0.0,70.0,1016.6
MIA,7.0,6.0,14.0,30.0,0.0,67.0,1017.1
MIA,7.0,6.0,15.0,31.1,0.0,63.0,1017.1
MIA,7.0,6.0,16.0,31.7,0.0,57.0,1017.4
MIA,7.0,6.0,17.0,32.2,0.0,56.0,1017.4
MIA,7.0,6.0,18.0,32.2,0.0,58.0,1017.0
MIA,7.0,6.0,19.0,32.2,0.0,58.0,1016.4
MIA,7.0,6.0,20.0,32.2,0.0,56.0,1016.1
MIA,7.0,6.0,21.0,32.2,0.0,54.0,1015.9
MIA,7.0,6.0,22.0,31.7,0.0,57.0,1015.8
MIA,7.0,6.0,23.0,31.1,0.0,59.0,1015.8
MIA,7.0,7.0,0.0,29.4,0.0,72.0,1016.2
MIA,7.0,7.0,1.0,28.9,0.0,74.0,1016.5
MIA,7.0,7.0,2.0,28.9,0.0,72.0,1016.7
MIA,7.0,7.0,3.0,28.3,0.0,74.0,1017.1
MIA,7.0,7.0,4.0,28.3,0.0,74.0,1016.8
MIA,7.0,7.0,5.0,28.3,0.0,74.0,1016.5
MIA,7.0,7.0,6.0,28.3,0.0,77.0,1016.2
MIA,7.0,7.0,7.0,28.3,0.0,74.0,1015.6
MIA,7.0,7.0,8.0,27.8,0.0,79.0,1015.0
MIA,7.0,7.0,9.0,28.3,0.0,77.0,1015.1
MIA,7.0,7.0,10.0,27.8,0.0,79.0,1014.8
MIA,7.0,7.0,11.0,28.3,0.0,77.0,1015.0
MIA,7.0,7.0,12.0,28.9,0.0,77.0,1015.3
MIA,7.0,7.0,13.0,30.0,0.0,72.0,1015.4
MIA,7.0,7.0,14.0,30.6,0.0,72.0,1015.7
MIA,7.0,7.0,15.0,31.1,0.0,68.0,1015.7
MIA,7.0,7.0,16.0,31.7,0.0,65.0,1015.7
MIA,7.0,7.0,17.0,31.7,0.0,63.0,1015.6
MIA,7.0,7.0,18.0,32.8,0.0,60.0,1015.4
MIA,7.0,7.0,19.0,32.8,0.0,60.0,1015.0
MIA,7.0,7.0,20.0,32.8,0.0,60.0,1014.6
MIA,7.0,7.0,21.0,31.1,0.0,68.0,1014.4
MIA,7.0,7.0,22.0,31.1,0.0,70.0,1014.2
MIA,7.0,7.0,23.0,30.6,0.0,72.0,1014.5
MIA,7.0,8.0,0.0,30.0,0.0,75.0,1014.7
MIA,7.0,8.0,1.0,29.4,0.0,70.0,1015.0
MIA,7.0,8.0,2.0,28.9,0.0,80.0,1015.0
MIA,7.0,8.0,3.0,29.4,0.0,77.0,1015.2
MIA,7.0,8.0,4.0,27.8,1.5,88.0,1015.3
MIA,7.0,8.0,5.0,28.3,0.0,85.0,1014.7
MIA,7.0,8.0,6.0,27.8,0.0,85.0,1013.8
MIA,7.0,8.0,7.0,27.2,0.0,88.0,1013.7
MIA,7.0,8.0,8.0,27.8,0.0,85.0,1013.3
MIA,7.0,8.0,9.0,27.8,0.0,85.0,1013.0
MIA,7.0,8.0,10.0,28.3,,82.0,1013.0
MIA,7.0,8.0,11.0,27.2,,79.0,1013.9
MIA,7.0,8.0,12.0,28.9,0.0,72.0,1014.1
MIA,7.0,8.0,13.0,30.0,0.0,70.0,1014.4
MIA,7.0,8.0,14.0,30.0,0.0,75.0,1014.3
MIA,7.0,8.0,15.0,31.1,0.0,70.0,1014.4
MIA,7.0,8.0,16.0,31.7,0.0,70.0,1014.1
MIA,7.0,8.0,17.0,31.7,0.0,70.0,1013.5
MIA,7.0,8.0,18.0,31.7,,70.0,1012.7
MIA,7.0,8.0,19.0,32.2,0.0,68.0,1012.4
MIA,7.0,8.0,20.0,31.7,0.0,72.0,1011.3
MIA,7.0,8.0,21.0,30.6,,77.0,1011.1
MIA,7.0,8.0,22.0,25.6,7.6,93.0,1010.8
MIA,7.0,8.0,23.0,25.6,3.6,87.0,1010.7
MIA,7.0,9.0,0.0,28.9,1.0,85.0,1010.8
MIA,7.0,9.0,1.0,29.4,,80.0,1010.7
MIA,7.0,9.0,2.0,23.3,4.3,91.0,1012.0
MIA,7.0,9.0,3.0,26.7,,82.0,1011.7
MIA,7.0,9.0,4.0,26.1,5.6,88.0,1011.6
MIA,7.0,9.0,5.0,28.3,,85.0,1011.2
MIA,7.0,9.0,6.0,28.9,0.0,77.0,1010.5
MIA,7.0,9.0,7.0,25.0,0.5,88.0,1010.4
MIA,7.0,9.0,8.0,23.9,25.9,94.0,1010.7
MIA,7.0,9.0,9.0,26.7,,87.0,1010.5
MIA,7.0,9.0,10.0,26.7,1.5,85.0,1011.4
MIA,7.0,9.0,11.0,26.1,1.8,94.0,1012.0
MIA,7.0,9.0,12.0,27.2,0.5,88.0,1011.5
MIA,7.0,9.0,13.0,28.3,,85.0,1011.4
MIA,7.0,9.0,14.0,28.9,,82.0,1011.5
MIA,7.0,9.0,15.0,27.8,4.1,88.0,1012.1
MIA,7.0,9.0,16.0,28.3,,85.0,1012.8
MIA,7.0,9.0,17.0,28.9,0.3,82.0,1012.5
MIA,7.0,9.0,18.0,30.6,,75.0,1011.9
MIA,7.0,9.0,19.0,29.4,0.0,82.0,1011.8
MIA,7.0,9.0,20.0,29.4,,82.0,1012.0
MIA,7.0,9.0,21.0,28.3,,85.0,1011.9
MIA,7.0,9.0,22.0,27.8,,88.0,1011.5
MIA,7.0,9.0,23.0,28.3,,79.0,1011.2
MIA,7.0,10.0,0.0,28.3,0.0,79.0,1011.7
MIA,7.0,10.0,1.0,28.3,0.0,85.0,1012.2
MIA,7.0,10.0,2.0,28.3,0.0,88.0,1012.7
MIA,7.0,10.0,3.0,28.9,0.0,85.0,1013.6
MIA,7.0,10.0,4.0,28.3,0.0,88.0,1013.6
MIA,7.0,10.0,5.0,28.3,0.0,88.0,1013.5
MIA,7.0,10.0,6.0,28.3,0.0,79.0,1013.1
MIA,7.0,10.0,7.0,28.3,0.0,79.0,1013.2
MIA,7.0,10.0,8.0,27.8,0.0,82.0,1013.2
MIA,7.0,10.0,9.0,28.3,0.0,85.0,1012.9
MIA,7.0,10.0,10.0,28.3,0.0,85.0,1013.1
MIA,7.0,10.0,11.0,28.3,,85.0,1013.6
MIA,7.0,10.0,12.0,27.8,0.3,88.0,1014.3
MIA,7.0,10.0,13.0,27.8,1.8,90.0,1014.8
MIA,7.0,10.0,14.0,28.9,,82.0,1015.3
MIA,7.0,10.0,15.0,28.3,0.3,88.0,1015.6
MIA,7.0,10.0,16.0,27.2,,85.0,1015.6
MIA,7.0,10.0,17.0,27.8,,88.0,1016.0
MIA,7.0,10.0,18.0,28.9,,85.0,1015.7
MIA,7.0,10.0,19.0,29.4,0.0,80.0,1015.7
MIA,7.0,10.0,20.0,28.9,0.0,85.0,1015.0
MIA,7.0,10.0,21.0,28.9,0.0,82.0,1014.5
MIA,7.0,10.0,22.0,28.9,0.0,82.0,1014.2
MIA,7.0,10.0,23.0,28.9,0.0,82.0,1014.7
MIA,7.0,11.0,0.0,28.3,0.0,85.0,1015.2
MIA,7.0,11.0,1.0,28.3,0.0,88.0,1015.7
MIA,7.0,11.0,2.0,27.8,0.0,90.0,1016.1
MIA,7.0,11.0,3.0,27.2,0.0,91.0,1016.5
MIA,7.0,11.0,4.0,27.8,0.0,88.0,1016.8
MIA,7.0,11.0,5.0,26.7,0.0,82.0,1016.0
MIA,7.0,11.0,6.0,26.7,0.0,76.0,1015.6
MIA,7.0,11.0,7.0,26.1,0.0,85.0,1015.1
MIA,7.0,11.0,8.0,26.1,0.0,88.0,1015.3
MIA,7.0,11.0,9.0,26.7,0.0,90.0,1015.4
MIA,7.0,11.0,10.0,26.7,0.0,90.0,1015.6
MIA,7.0,11.0,11.0,26.7,0.0,90.0,1015.8
MIA,7.0,11.0,12.0,27.8,0.0,85.0,1016.2
MIA,7.0,11.0,13.0,28.3,0.0,82.0,1017.0
MIA,7.0,11.0,14.0,29.4,0.0,74.0,1017.4
MIA,7.0,11.0,15.0,30.6,0.0,68.0,1017.9
MIA,7.0,11.0,16.0,30.6,0.0,70.0,1018.0
MIA,7.0,11.0,17.0,31.1,0.0,61.0,1017.7
MIA,7.0,11.0,18.0,31.7,0.0,63.0,1017.7
